,Change from last real stockval t-30 days
GOOGL,248.13443359374992
AZO,200.9807177734374
ADBE,95.86461547851565
NVDA,92.02878295898438
NOW,86.8030419921875
VEEV,58.7242462158203
MSFT,37.91336853027343
W,26.57217712402344
DIS,25.133987426757812
ALXN,21.518851928710944
ILTB,13.675835571289056
VIAC,13.322879219055174
AAXN,11.219202728271483
NEE,11.16069274902344
TER,8.075097656250001
CVS,7.050790405273439
ZEN,6.004155578613279
T,4.838816070556639
VTI,4.8306713867187625
VZ,4.4749678039550815
ALB,3.328550415039061
TERP,3.323144493103026
IXUS,-3.0279740905761727
CTRE,-3.4219264221191406
FDX,-3.5689239501953125
BEP,-3.6082814025878918
NVO,-6.4852694702148455
IRBT,-6.51254577636719
URI,-8.605362548828126
BTI,-10.201215820312498
STZ,-11.923471679687509
ALL,-14.801805419921877
ETN,-15.190426940917973
VRTX,-21.904827880859386
ENPH,-38.479744567871094
NFLX,-44.95595825195312
AMZN,-130.03306640624987
